   ,CUSTOMER_CODE,ORDER_COUNT,SALES_VALUE_LAKHS
2950,000000009013644,65,679.86
1913,000000009010899,64,465.78
3508,000000009016085,64,921.14
677,000000009001254,64,591.9
1504,000000009006134,64,1357.91
2525,000000009016438,64,405.93
3377,000000009013265,64,801.02
2988,000000009009264,64,2670.4
579,000000009006563,64,1172.39
3336,000000009001939,63,3201.18
1546,000000009002453,63,475.11
2528,000000009009793,63,1407.46
1881,000000009002244,63,255.77
2878,000000009012611,63,679.74
1422,000000009002709,62,5.59
2000,000000009015988,62,704.93
3000,000000009015989,62,989.48
2403,000000009011418,62,448.46
168,000000009004647,62,206.02
1103,000000009013485,62,1766.9
1009,000000009013244,61,271.02
26,000000009000044,61,657.92
585,000000009001460,61,379.94
2500,000000009002393,61,784.69
2490,000000009000554,61,1641.07
152,000000009001555,60,912.06
3402,000000009013902,60,986.42
2518,000000009016049,60,1820.71
3347,000000009011575,60,399.71
50,000000009013378,60,717.89
1581,000000009015330,60,882.39
591,000000009000300,60,298.16
954,000000009012415,60,104.51
3338,000000009009392,59,846.63
2853,000000009001893,59,510.56
43,000000009006850,59,461.1
2413,000000009005109,59,926.57
1463,000000009001434,59,664.38
1027,000000009002763,58,521.49
554,000000009011438,58,1608.08
612,000000009000891,58,1017.83
3420,000000009013354,58,883.79
2973,000000009015238,58,255.68
8,000000009005525,58,1560.93
1104,000000009015986,58,818.54
955,000000009005709,58,2645.15
1457,000000009011295,58,255.23
127,000000009015317,57,244.33
85,000000009001421,57,704.84
2448,000000009001455,57,931.16
1447,000000009010503,57,994.2
1515,000000009011177,57,154.22
2836,000000009000456,56,1242.23
2011,000000009015714,56,1958.17
1087,000000009015098,56,1565.45
996,000000009002295,56,1021.51
2022,000000009001537,56,792.3
1990,000000009009611,56,257.19
1125,000000009011888,55,1215.33
3429,000000009002418,55,927.94
2008,000000009008290,55,449.81
1989,000000009013021,55,517.43
3446,000000009012373,55,1130.32
1428,000000009008791,55,1065.13
2532,000000009014968,55,2404.57
2021,000000009001668,54,576.47
642,000000009013299,54,308.92
17,000000009002844,54,1677.68
2546,000000009013307,54,718.66
3460,000000009015713,54,1753.71
2985,000000009015540,54,68.46
2471,000000009008338,54,1908.02
588,000000009006283,54,1652.8
3523,000000009018252,53,4363.6
1946,000000009006290,53,352.87
1128,000000009013655,53,1112.67
1973,000000009013654,53,1243.87
1099,000000009002623,53,390.04
163,000000009016437,53,362.78
1166,000000009008362,52,202.26
3427,000000009005685,52,2590.31
3487,000000009015634,52,1164.99
